Aid,Best seed,Average,Training set results,,,,,test set results,,,,,Validation set results,,,
,,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc,,auc,f1,prc-auc,acc
1259381,Seed 2,0.792523,0.9917,,,,,0.852632,,,0.833333,,0.929825,,,
1259382,Seed 4,0.75092,0.843595,,,,,0.772727,0,0.055556,0.913043,,0.962963,,,
1259415,Seed 4,0.551737,0.794674,,,,,0.518519,0,0.066351,0.9,,0.81,,,
1259416,Seed 0,0.712344,0.615144,,,,,0.733333,0,0.663626,0.705882,,0.866667,,,
1259421,Seed 4,0.744017,0.938655,,,,,1,0.8,0.791667,0.933333,,0.484848,,,
1259422,Seed 3,0.464935,1,,,,,0.368421,0,0.041667,0.85,,0.979167,,,
1296008,Seed 2,0.819939,0.924493,,,,,0.854839,0.636364,0.548924,0.902778,,0.8375,,,
1296009,Seed 1,0.793672,0.998348,,,,,0.810345,0.666667,0.763925,0.909091,,0.805515,,,
1345082,Seed 3,0.927174,0.968355,,,,,0.955556,0.967742,0.953725,0.969697,,0.995726,,,
1345083,Seed 3,0.969722,0.985629,,,,,0.989286,0.962963,0.995068,0.941176,,1,,,
1345084,Seed 4,0.8237,0.861539,,,,,0.819527,0.444444,0.541028,0.830769,,0.654971,,,
1345199,Seed 4,0.57619,0.878655,,,,,0.5,0.588235,0.711217,0.461538,,0.7,,,
1346798,Seed 4,0.864815,0.880282,,,,,0.87037,0,0.427689,0.857143,,0.722222,,,
1346799,Seed 2,0.748366,0.836538,,,,,0.941176,0,0.072815,0.894737,,1,,,
1346979,Seed 3,0.549432,0.807485,,,,,0.666667,0,0.186574,0.809524,,0.796875,,,
1346982,Seed 4,0.531001,0.828559,,,,,0.588235,0.615385,0.447778,0.772727,,0.875,,,
1346986,Seed 2,0.812375,0.907148,,,,,0.783871,0.5,0.414393,0.865672,,0.871671,,,
1346987,Seed 3,0.827891,1,,,,,0.849091,0.3,0.532997,0.769231,,0.889937,,,
1347032,Seed 3,0.400794,0.981481,,,,,0.047619,0,0.035714,0.954545,,0.736842,,,
1347060,Seed 4,0.566667,0.632997,,,,,0.5,0,0.85754,0.142857,,1,,,
1347064,Seed 4,0.411111,0.563147,,,,,0.555556,0,0.461111,0.5,,0.666667,,,
1347065,Seed 4,0.446667,0.662139,,,,,0.5,0.888889,0.864762,0.428571,,1,,,
1347067,Seed 1,0.316667,0.473244,,,,,0.4,0.444444,0.416667,0.714286,,0.5,,,
1347075,Seed 1,0.779092,0.943033,,,,,0.75,0,0.4981,0.875,,0.777778,,,
1347076,Seed 3,0.883463,1,,,,,0.910714,0,0.238095,0.933333,,0.88,,,
1347083,Seed 3,0.499964,0.737316,,,,,0.96,0,0.073421,0.884615,,1,,,
1347085,Seed 3,0.401042,0.678571,,,,,0.770833,0.142857,0.041286,0.807692,,1,,,
1347092,Seed 2,0.5,0.819048,,,,,0.642857,0.666667,1,0.888889,,1,,,
1347093,Seed 3,0.785,0.908909,,,,,0.833333,0.4,0.633333,0.75,,1,,,
1347097,Seed 4,0.770952,0.84,,,,,0.75,0,0.148214,0.75,,0.875,,,
1347100,Seed 2,0.537698,0.789683,,,,,0.625,0,1,0.888889,,1,,,
1347101,Seed 3,0.7,0.860248,,,,,0.642857,0.5,0.183333,0.666667,,0.7,,,
1347103,Seed 4,0.520714,0.770833,,,,,0.375,0.727273,0.413095,0.5,,1,,,
1347131,Seed 0,0.645518,0.964542,,,,,0.888889,0.083333,0.025024,0.043478,,0.952381,,,
1347159,Seed 3,0.898965,0.882309,,,,,0.944444,0,0.614815,0.933333,,0.810526,,,
1347160,Seed 1,0.749392,0.957606,,,,,0.77551,0,0.463103,0.907407,,1,,,
1347417,Seed 0,0.822361,0.989434,,,,,0.82197,0.666667,0.658945,0.705882,,0.8125,,,
1645841,Seed 4,0.738095,0.921875,,,,,0.833333,0.571429,0.708333,0.75,,0.75,,,
1645855,Seed 3,0.849588,0.87328,,,,,0.826923,0,1,0.823529,,1,,,
1645860,Seed 4,0.610073,0.980769,,,,,0.714286,0.222222,0.577778,0.875,,0.568182,,,
1645876,Seed 4,0.826627,0.995343,,,,,0.833333,0.5,0.708881,0.762712,,0.964444,,,
1671190,Seed 1,0.656832,1,,,,,0.879121,0,0.104945,0.978495,,0.944444,,,
1671193,Seed 2,0.889527,0.865351,,,,,0.887755,0,0.083333,0.989899,,0.969388,,,
1671196,Seed 0,0.479405,0.665278,,,,,0.475,0,0.405327,0.761905,,0.464286,,,
1671197,Seed 4,0.665076,0.99429,,,,,0.683673,0.545455,0.512597,0.666667,,0.707071,,,
1671198,Seed 3,0.710546,0.891436,,,,,0.753846,0.222222,0.364975,0.777778,,1,,,
1671199,Seed 2,0.545342,0.715689,,,,,0.545455,0.307692,0.505229,0.611111,,0.928571,,,
1671201,Seed 2,0.72938,0.91744,,,,,0.733333,0.625,0.698651,0.818182,,0.775,,,
1745845,Seed 4,0.75375,0.994055,,,,,0.78125,0.333333,0.76506,0.918919,,1,,,
1745853,Seed 3,0.858103,0.988911,,,,,0.875,0,0.166667,0.969231,,0.745763,,,
1794795,Seed 4,0.888225,0.942553,,,,,0.916667,0,0.223214,0.923077,,0.916667,,,
