TerpenoidsID,Molecular Formula,Molecular Weight,Smiles
TPCN00122,C21H24N2O6,400.431,COC(=O)C1=COC(C)C2CN(CCC3(O)C(=O)Nc4ccccc43)C(=O)CC12
TPCN00123,C28H40O17,648.611,C=C(COC1OC(COC(=O)CC(=O)O)C(O)C(O)C1OC1OC(COC(=O)CC(=O)O)C(O)C(O)C1O)C1CC=C(C)CC1
TPCN00124,C43H54N4O5,706.928,CCC1CN(C)C2Cc3c([nH]c4ccccc34)C(c3c(OC)ccc4c5c([nH]c34)C3(C(=O)OC)CC4CC(CC)C3N(CC5)C4)CC1C2C(=O)OC
TPCN00125,C20H24N2O2,324.424,CC=C1CN2C3CC1C(CO)C2Cc1c3[nH]c2ccc(OC)cc12
TPCN00126,C42H52N4O4,676.902,CCC1CN(C)C2Cc3c([nH]c4ccccc34)C(c3ccc4[nH]c5c(c4c3)CCN3CC4CC(CC)C3C5(C(=O)OC)C4)CC1C2C(=O)OC
TPCN00127,C30H32O13,600.573,CC12CC3(O)OC(O1)C1(COC(=O)c4ccccc4)C3CC21OC1OC(COC(=O)c2ccc(O)cc2)C(O)C(O)C1O
TPCN00128,C19H24N2,280.415,CCC12CCCN3CCC4(C(=Nc5ccccc54)CC1)C32
TPCN00129,C30H32O16,648.57,CC12CC3(O)OC(O1)C1(COC(=O)c4ccc(O)cc4)C3CC21OC1OC(COC(=O)c2cc(O)c(O)c(O)c2)C(O)C(O)C1O
TPCN00130,C15H22O8,330.333,OCC1=CCC2C=COC(OC3OC(CO)C(O)C(O)C3O)C12
TPCN00131,C16H26O8,346.376,C=CC(C)(O)CCC=C(C)C(=O)OC1OC(CO)C(O)C(O)C1O
TPCN00132,C16H28O8,348.392,CC(=CCCC(C)CCOC1OC(CO)C(O)C(O)C1O)C(=O)O
TPCN00133,C21H24N2O3,352.434,CCC12C=CCN3CCc4c(n(c5ccccc45)C(O)(C(=O)OC)C1)C32
TPCN00134,C21H22N2O3,350.418,C=CC12C=CCN3CCC4(c5ccccc5NC(=O)C4(C(=O)OC)C1)C32
TPCN00135,C16H24O6,312.362,C=CC1(C)CCC=C(C)C(=O)OC2C(C)OC(O1)C(O)C2O
TPCN00136,C21H26N2O3,354.45,CCC1CN(C)C2Cc3c([nH]c4ccccc34)C(=O)CC1C2C(=O)OC
TPCN00137,C30H32O14,616.572,CC12CC3(O)OC(O1)C1(COC(=O)c4ccc(O)cc4)C3CC21OC1OC(COC(=O)c2ccc(O)cc2)C(O)C(O)C1O
TPCN00138,C22H34O12,490.502,Cc1cc(OC2OC(CO)C(O)C(O)C2O)c(C(C)C)cc1OC1OC(CO)C(O)C(O)C1O
TPCN00139,C21H24N2O4,368.433,CC=C1CN2CCC34c5ccccc5NC5OC3(O)C2CC1C54C(=O)OC
TPCN00140,C31H34O14,630.599,COc1cc(C(=O)OCC2OC(OC34CC5C6(O)CC3(C)OC(O6)C54COC(=O)c3ccccc3)C(O)C(O)C2O)ccc1O
TPCN00141,C21H20O7,384.384,CC(O)(CCOc1c2ccoc2cc2oc(=O)ccc12)C1=CC(=O)C(C)(C)O1
TPCN00142,C18H29NO4,323.433,CN1C2CCC1CC(OC(=O)C1C(O)C(O)C3CC1C3(C)C)C2
TPCN00143,C9H12O4,184.191,O=C1CC2CC=C(CO)C2(CO)O1
TPCN00144,C22H38O11,478.535,CC1=C(COC2OC(COC3OC(CO)C(O)C(O)C3O)C(O)C(O)C2O)C(C)(C)CCC1
TPCN00145,C21H20O7,384.384,CC1(C)OC(C)(CCOc2c3ccoc3cc3oc(=O)ccc23)C(=O)C=C1O
TPCN00146,C24H30N2O3,394.515,CCC1CC2CC3(C(=O)OC)c4[nH]c5ccccc5c4CCN(C2CC(C)=O)C13
TPCN00147,C46H74O21,963.077,CC(=O)OCC=C(C)CCC=C(C)C(=O)OC1C(OC2C(O)C(C)OC(OCC=C(C)CCC=C(C)COC3OC(C)C(O)C(O)C3O)C2O)OC(C)C(O)C1OC1OC(C)C(O)C(O)C1O
TPCN00148,C25H32O10,492.521,O=CC1(C=COC2OC(CO)C(O)C(O)C2O)CCC(COC(=O)C=Cc2ccccc2)CC1O
TPCN00149,C21H36O11,464.508,CC12CCC(OC3OC(COC4OCC(O)(CO)C4O)C(O)C(O)C3O)(CC1)C(C)(C)O2
TPCN00150,C31H34O15,646.598,COc1cc(C(=O)OCC2OC(OC34CC5C6(O)CC3(C)OC(O6)C54COC(=O)c3ccc(O)cc3)C(O)C(O)C2O)ccc1O
TPCN00151,C16H28O7,332.393,CC(C)C1=CC(OC2OC(CO)C(O)C(O)C2O)C(C)(O)CC1
TPCN00152,C19H22N2O,294.398,CCC12CCCN3CCc4c(n(c5ccccc45)C(=O)C1)C32
TPCN00153,C16H24O10,376.358,CC1(O)CCC2C(C(=O)O)=COC(OC3OC(CO)C(O)C(O)C3O)C21
TPCN00154,C30H32O12,584.574,CC12CC(O)C3CC1(OC1OC(COC(=O)c4ccccc4)C(O)C(O)C1O)C3(COC(=O)c1ccccc1)C(=O)O2
TPCN00155,C15H24O8,332.349,CC1(O)CCC2C=COC(OC3OC(CO)C(O)C(O)C3O)C21
TPCN00156,C25H32O11,508.52,O=CC1(C=COC2OC(CO)C(O)C(O)C2O)CCC(COC(=O)C=Cc2ccc(O)cc2)CC1O
TPCN00157,C21H24N2O3,352.434,CC=C1CN2C3CC1C(CO)(C(=O)OC)C2Cc1c3[nH]c2ccccc12
TPCN00158,C27H34O3,406.566,CC1(C)C(=O)C2=C(OC3(C)C(CC4CC3C4(C)C)C2c2ccccc2)C(C)(C)C1=O
TPCN00159,C19H22O6,346.379,CC(=CCOc1cc(O)cc2oc(=O)ccc12)CC=CC(C)(C)OO
TPCN00160,C19H26O9,398.408,Cc1ccc(C(C)C)cc1OC1OC(COC(=O)CC(=O)O)C(O)C(O)C1O
TPCN00161,C16H30O8,350.408,C=CC(C)(CCC(O)C(C)(C)O)OC1OC(CO)C(O)C(O)C1O
TPCN00162,C22H34O11,474.503,Cc1ccc(C(C)C)cc1OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(O)C1O
TPCN00163,C16H24O7,328.361,Cc1cc(OC2OC(CO)C(O)C(O)C2O)c(C(C)C)cc1O
TPCN00164,C16H28O8,348.392,CC(C)C1(O)C=CC(C)(O)C(OC2OC(CO)C(O)C(O)C2O)C1
TPCN00165,C19H28N2,284.447,CCc1[nH]c2ccccc2c1CCN1CCCC(CC)C1
TPCN00166,C19H22N2O,294.398,CCC12C=CN3c4ccccc4C(=O)C34CCN(CCC1)C24
TPCN00167,C20H25N2O2+,325.432,CC=C1C[N+]2(C)C3CC1C(CO)C2Cc1c3[nH]c2ccc(O)cc12
